PH,time,date
5.24,16.10,12.09.2018
6.12,18.10,12.09.2018
6.59,18.35,12.09.2018
6.55,19.55,12.09.2018
5.63,21.00,12.09.2018
6.41,21.50,12.09.2018
6.43,9.10,13.09.2018
6.73,13.15,13.09.2018
6.1,14.36,13.09.2018
7.3,19.04,13.09.2018
7.03,20.35,13.09.2018
5.78,22.15,13.09.2018
6.58,23.55,13.09.2018
4.79,7.35,14.09.2018
5.02,8.45,14.09.2018
6.07,11.55,14.09.2018
6.02,14.15,14.09.2018
5.4,14.55,14.09.2018
5,16.10,14.09.2018
5.5,16.40,14.09.2018
5.25,17.40,14.09.2018
5.2,18.40,14.09.2018
5.74,19.15,14.09.2018
5.35,20.30,14.09.2018
4.9,22.20,14.09.2018
5.06,22.40,14.09.2018
5.9,9.35,15.09.2018
5.33,12.10,15.09.2018
6.38,17.36,15.09.2018
6.72,18.43,15.09.2018
5.64,21.10,15.09.2018
5.45,21.40,15.09.2018
5.37,23.00,15.09.2018
5.26,9.50,16.09.2018
5.36,12.20,16.09.2018
5.83,13.25,16.09.2018
5.85,14.15,16.09.2018
5.66,14.55,16.09.2018
4.73,20.35,16.09.2018
4.45,21.25,16.09.2018
5.4,22.15,16.09.2018
5.05,23.45,16.09.2018
5.36,8.55,17.09.2018
5.5,10.00,17.09.2018
5.95,11.35,17.09.2018
6.08,12.25,17.09.2018
6.64,17.55,17.09.2018
6.26,18.55,17.09.2018
6.2,19.30,17.09.2018
6.17,22.05,17.09.2018
5.46,23.10,17.09.2018
7.3,9.25,18.09.2018
6.83,10.40,18.09.2018
6.03,11.40,18.09.2018
6.38,12.00,18.09.2018
5.89,16.50,18.09.2018
6.44,18.55,18.09.2018
6.39,19.50,18.09.2018
5.91,20.50,18.09.2018
5.43,23.00,18.09.2018
6.11,23.45,18.09.2018
6.34,9.25,19.09.2018
5.78,12.15,19.09.2018
4.94,23.55,19.09.2018
6.12,10.00,20.09.2018
5.38,13.40,20.09.2018
4.76,17.50,20.09.2018
5.66,18.40,20.09.2018
5.71,19.25,20.09.2018
5.58,20.00,20.09.2018
5.48,20.45,20.09.2018
6.28,21.45,20.09.2018
6.22,23.20,20.09.2018
5.32,10.25,21.09.2018
5.3,14.45,21.09.2018
5.12,17.40,21.09.2018
5.39,18.15,21.09.2018
4.98,19.05,21.09.2018
5.13,20.00,21.09.2018
5.53,20.45,21.09.2018
5.43,22.14,21.09.2018
5.22,23.55,21.09.2018
5.78,10.00,22.09.2018
5.61,15.45,22.09.2018
6.14,17.20,22.09.2018
6.12,18.14,22.09.2018
5.02,19.40,22.09.2018
5.14,23.50,22.09.2018
4.52,9.20,23.09.2018
6.32,11.45,23.09.2018
5.35,16.55,23.09.2018
5.72,18.30,23.09.2018
6.22,19.20,23.09.2018
6.58,19.55,23.09.2018
4.93,9.45,24.09.2018
4.54,12.30,24.09.2018
5.05,17.00,24.09.2018
5.13,18.30,24.09.2018
5.37,19.00,24.09.2018
5.92,19.30,24.09.2018
6.12,20.50,24.09.2018
6.06,22.35,24.09.2018
5.45,23.40,24.09.2018
6.39,9.35,25.09.2018
4.41,12.00,25.09.2018
6.42,13.30,25.09.2018
6.58,20.10,25.09.2018
6.52,21.20,25.09.2018
6.03,23.20,25.09.2018
